# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,daypart,window,base_score,base_band
Woodward Core,Coffee Shop,Sat,dinner,16:00-21:00,8.2,Minimal
Woodward Core,Coffee Shop,Sat,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Sun,morning,06:00-11:00,13.4,Minimal
Woodward Core,Coffee Shop,Sun,midday,11:00-16:00,19.7,Minimal
Woodward Core,Coffee Shop,Sun,dinner,16:00-21:00,4.9,Minimal
Woodward Core,Coffee Shop,Sun,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Mon,morning,06:00-11:00,15.6,Minimal
Woodward Core,Breakfast / Brunch Cafe,Mon,midday,11:00-16:00,18.8,Minimal
Woodward Core,Breakfast / Brunch Cafe,Mon,dinner,16:00-21:00,0.8,Minimal
Woodward Core,Breakfast / Brunch Cafe,Mon,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Tue,morning,06:00-11:00,16.2,Minimal
Woodward Core,Breakfast / Brunch Cafe,Tue,midday,11:00-16:00,19.5,Minimal
Woodward Core,Breakfast / Brunch Cafe,Tue,dinner,16:00-21:00,0.8,Minimal
Woodward Core,Breakfast / Brunch Cafe,Tue,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Wed,morning,06:00-11:00,18.2,Minimal
Woodward Core,Breakfast / Brunch Cafe,Wed,midday,11:00-16:00,21.9,Light
Woodward Core,Breakfast / Brunch Cafe,Wed,dinner,16:00-21:00,0.9,Minimal
